"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","state_ids","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id","name@pt"
"","","","","","","","","iva_pt_sale_normal","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_intermedia","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_reduzida","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_normal_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_intermedia_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_reduzida_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_normal","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_intermedia","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_reduzida","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_normal_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_intermedia_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_reduzida_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_normal_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_intermedia_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_reduzida_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","","","chart_21111","chart_21112",""
"","","","","","","","","","","chart_21121","chart_21122",""
"","","","","","","","","","","chart_21131","chart_21132",""
"","","","","","","","","","","chart_21141","chart_21142",""
"","","","","","","","","","","chart_21151","chart_21152",""
"","","","","","","","","","","chart_21161","chart_21162",""
"","","","","","","","","","","chart_21171","chart_21172",""
"","","","","","","","","","","chart_21211","chart_21212",""
"","","","","","","","","","","chart_21221","chart_21222",""
"","","","","","","","","","","chart_21231","chart_21232",""
"","","","","","","","","","","chart_21241","chart_21242",""
"","","","","","","","","","","chart_21251","chart_21252",""
"","","","","","","","","","","chart_21261","chart_21262",""
"","","","","","","","","","","chart_2181","chart_2182",""
"","","","","","","","","","","chart_219111","chart_219112",""
"","","","","","","","","","","chart_219121","chart_219122",""
"","","","","","","","","","","chart_219131","chart_219132",""
"","","","","","","","","","","chart_219141","chart_219142",""
"","","","","","","","","","","chart_219151","chart_219152",""
"","","","","","","","","","","chart_219161","chart_219162",""
"","","","","","","","","","","chart_219211","chart_219212",""
"","","","","","","","","","","chart_219221","chart_219222",""
"","","","","","","","","","","chart_219231","chart_219232",""
"","","","","","","","","","","chart_219241","chart_219242",""
"","","","","","","","","","","chart_219251","chart_219252",""
"","","","","","","","","","","chart_219261","chart_219262",""
"","","","","","","","","","","chart_219311","chart_219322",""
"","","","","","","","","","","chart_22111","chart_22112",""
"","","","","","","","","","","chart_22121","chart_22122",""
"","","","","","","","","","","chart_22131","chart_22132",""
"","","","","","","","","","","chart_22141","chart_22142",""
"","","","","","","","","","","chart_22151","chart_22152",""
"","","","","","","","","","","chart_22161","chart_22162",""
"","","","","","","","","","","chart_22211","chart_22212",""
"","","","","","","","","","","chart_22221","chart_22222",""
"","","","","","","","","","","chart_22231","chart_22232",""
"","","","","","","","","","","chart_22241","chart_22242",""
"","","","","","","","","","","chart_22251","chart_22252",""
"","","","","","","","","","","chart_22261","chart_22262",""
"","","","","","","","","","","chart_2251","chart_2252",""
"","","","","","","","","","","chart_2281","chart_2282",""
"","","","","","","","","","","chart_22911","chart_22912",""
"","","","","","","","","","","chart_22921","chart_22922",""
"","","","","","","","","","","chart_22931","chart_22932",""
"","","","","","","","","","","chart_22941","chart_22942",""
"","","","","","","","","","","chart_22951","chart_22952",""
"","","","","","","","","","","chart_22961","chart_22962",""
"","","","","","","","","","","chart_3111","chart_3112",""
"","","","","","","","","","","chart_3121","chart_3122",""
"","","","","","","","","","","chart_3131","chart_3132",""
"","","","","","","","","","","chart_31711","chart_31712",""
"","","","","","","","","","","chart_31721","chart_31722",""
"","","","","","","","","","","chart_31731","chart_31732",""
"","","","","","","","","","","chart_31811","chart_31812",""
"","","","","","","","","","","chart_31821","chart_31822",""
"","","","","","","","","","","chart_31832","chart_31823",""
"","","","","","","","","","","chart_4211","chart_4212",""
"","","","","","","","","","","chart_4221","chart_4222",""
"","","","","","","","","","","chart_4261","chart_4262",""
"","","","","","","","","","","chart_4311","chart_4312",""
"","","","","","","","","","","chart_4321","chart_4322",""
"","","","","","","","","","","chart_4331","chart_4332",""
"","","","","","","","","","","chart_4341","chart_4342",""
"","","","","","","","","","","chart_4351","chart_4352",""
"","","","","","","","","","","chart_4361","chart_4362",""
"","","","","","","","","","","chart_4371","chart_4372",""
"","","","","","","","","","","chart_4411","chart_4412",""
"","","","","","","","","","","chart_4421","chart_4422",""
"","","","","","","","","","","chart_4431","chart_4432",""
"","","","","","","","","","","chart_4441","chart_4442",""
"","","","","","","","","","","chart_4461","chart_4462",""
"","","","","","","","","","","chart_6211","chart_6212",""
"","","","","","","","","","","chart_62211","chart_62212",""
"","","","","","","","","","","chart_62221","chart_62222",""
"","","","","","","","","","","chart_62231","chart_62232",""
"","","","","","","","","","","chart_62241","chart_62242",""
"","","","","","","","","","","chart_62251","chart_62252",""
"","","","","","","","","","","chart_62281","chart_62282",""
"","","","","","","","","","","chart_62311","chart_62312",""
"","","","","","","","","","","chart_62321","chart_62322",""
"","","","","","","","","","","chart_62331","chart_62332",""
"","","","","","","","","","","chart_62341","chart_62342",""
"","","","","","","","","","","chart_62381","chart_62382",""
"","","","","","","","","","","chart_62411","chart_62412",""
"","","","","","","","","","","chart_62431","chart_62432",""
"","","","","","","","","","","chart_62481","chart_62482",""
"","","","","","","","","","","chart_62521","chart_62522",""
"","","","","","","","","","","chart_62531","chart_62532",""
"","","","","","","","","","","chart_62581","chart_62582",""
"","","","","","","","","","","chart_62621","chart_62622",""
"","","","","","","","","","","chart_62641","chart_62642",""
"","","","","","","","","","","chart_62651","chart_62652",""
"","","","","","","","","","","chart_62671","chart_62672",""
"","","","","","","","","","","chart_62681","chart_62682",""
"","","","","","","","","","","chart_7111","chart_7112",""
"","","","","","","","","","","chart_7121","chart_7122",""
"","","","","","","","","","","chart_7131","chart_7132",""
"","","","","","","","","","","chart_7141","chart_7142",""
"","","","","","","","","","","chart_71711","chart_71712",""
"","","","","","","","","","","chart_71721","chart_71722",""
"","","","","","","","","","","chart_71731","chart_71732",""
"","","","","","","","","","","chart_71741","chart_71742",""
"","","","","","","","","","","chart_71811","chart_71812",""
"","","","","","","","","","","chart_71821","chart_71822",""
"","","","","","","","","","","chart_71831","chart_71832",""
"","","","","","","","","","","chart_71841","chart_71842",""
"","","","","","","","","","","chart_7211","chart_7212",""
"","","","","","","","","","","chart_7221","chart_7222",""
"","","","","","","","","","","chart_7251","chart_7252",""
"","","","","","","","","","","chart_72711","chart_72712",""
"","","","","","","","","","","chart_72721","chart_72722",""
"","","","","","","","","","","chart_72751","chart_72752",""
"","","","","","","","","","","chart_72811","chart_72812",""
"","","","","","","","","","","chart_72821","chart_72822",""
"","","","","","","","","","","chart_72831","chart_72832",""
"","","","","","","","","","","chart_78111","chart_78112",""
"","","","","","","","","","","chart_78121","chart_78122",""
"","","","","","","","","","","chart_78131","chart_78132",""
"","","","","","","","","","","chart_78141","chart_78142",""
"","","","","","","","","","","chart_78151","chart_78152",""
"","","","","","","","","","","chart_78161","chart_78162",""
"fiscal_position_foreign_other","6","Extra-Community","1","","","","","iva_pt_purchase_normal_fixed_assets","iva_pt_purchase_normal_fixed_assets_ec","","","Extracomunitário"
"","","","","","","","","iva_pt_purchase_intermedia_fixed_assets","iva_pt_purchase_intermedia_fixed_assets_ec","","",""
"","","","","","","","","iva_pt_purchase_reduzida_fixed_assets","iva_pt_purchase_reduzida_fixed_assets_ec","","",""
"","","","","","","","","iva_pt_purchase_normal","iva_pt_purchase_normal_ec","","",""
"","","","","","","","","iva_pt_purchase_intermedia","iva_pt_purchase_intermedia_ec","","",""
"","","","","","","","","iva_pt_purchase_reduzida","iva_pt_purchase_reduzida_ec","","",""
"","","","","","","","","iva_pt_purchase_normal_service","iva_pt_purchase_normal_service_ec","","",""
"","","","","","","","","iva_pt_purchase_intermedia_service","iva_pt_purchase_intermedia_service_ec","","",""
"","","","","","","","","iva_pt_purchase_reduzida_service","iva_pt_purchase_reduzida_service_ec","","",""
"","","","","","","","","iva_pt_ac_purchase_normal_fixed_assets","iva_pt_ac_purchase_normal_fixed_assets_ec","","",""
"","","","","","","","","iva_pt_ac_purchase_intermedia_fixed_assets","iva_pt_ac_purchase_intermedia_fixed_assets_ec","","",""
"","","","","","","","","iva_pt_ac_purchase_reduzida_fixed_assets","iva_pt_ac_purchase_reduzida_fixed_assets_ec","","",""
"","","","","","","","","iva_pt_ac_purchase_normal","iva_pt_ac_purchase_normal_ec","","",""
"","","","","","","","","iva_pt_ac_purchase_intermedia","iva_pt_ac_purchase_intermedia_ec","","",""
"","","","","","","","","iva_pt_ac_purchase_reduzida","iva_pt_ac_purchase_reduzida_ec","","",""
"","","","","","","","","iva_pt_ac_purchase_normal_service","iva_pt_ac_purchase_normal_service_ec","","",""
"","","","","","","","","iva_pt_ac_purchase_intermedia_service","iva_pt_ac_purchase_intermedia_service_ec","","",""
"","","","","","","","","iva_pt_ac_purchase_reduzida_service","iva_pt_ac_purchase_reduzida_service_ec","","",""
"","","","","","","","","iva_pt_ma_purchase_normal_fixed_assets","iva_pt_ma_purchase_normal_fixed_assets_ec","","",""
"","","","","","","","","iva_pt_ma_purchase_intermedia_fixed_assets","iva_pt_ma_purchase_intermedia_fixed_assets_ec","","",""
"","","","","","","","","iva_pt_ma_purchase_reduzida_fixed_assets","iva_pt_ma_purchase_reduzida_fixed_assets_ec","","",""
"","","","","","","","","iva_pt_ma_purchase_normal","iva_pt_ma_purchase_normal_ec","","",""
"","","","","","","","","iva_pt_ma_purchase_intermedia","iva_pt_ma_purchase_intermedia_ec","","",""
"","","","","","","","","iva_pt_ma_purchase_reduzida","iva_pt_ma_purchase_reduzida_ec","","",""
"","","","","","","","","iva_pt_ma_purchase_normal_service","iva_pt_ma_purchase_normal_service_ec","","",""
"","","","","","","","","iva_pt_ma_purchase_intermedia_service","iva_pt_ma_purchase_intermedia_service_ec","","",""
"","","","","","","","","iva_pt_ma_purchase_reduzida_service","iva_pt_ma_purchase_reduzida_service_ec","","",""
"","","","","","","","","iva_pt_sale_normal","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_intermedia","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_reduzida","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_normal_service","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_intermedia_service","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_reduzida_service","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_normal","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_intermedia","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_reduzida","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_normal_service","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_intermedia_service","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_reduzida_service","iva_pt_sale_non_eu_isenta","","",""
"","","","","","","","","","","chart_21111","chart_21113",""
"","","","","","","","","","","chart_21121","chart_21123",""
"","","","","","","","","","","chart_21131","chart_21133",""
"","","","","","","","","","","chart_21141","chart_21143",""
"","","","","","","","","","","chart_21151","chart_21153",""
"","","","","","","","","","","chart_21161","chart_21163",""
"","","","","","","","","","","chart_21171","chart_21173",""
"","","","","","","","","","","chart_21211","chart_21213",""
"","","","","","","","","","","chart_21221","chart_21223",""
"","","","","","","","","","","chart_21231","chart_21233",""
"","","","","","","","","","","chart_21241","chart_21243",""
"","","","","","","","","","","chart_21251","chart_21253",""
"","","","","","","","","","","chart_21261","chart_21263",""
"","","","","","","","","","","chart_2181","chart_2183",""
"","","","","","","","","","","chart_219111","chart_219113",""
"","","","","","","","","","","chart_219121","chart_219123",""
"","","","","","","","","","","chart_219131","chart_219133",""
"","","","","","","","","","","chart_219141","chart_219143",""
"","","","","","","","","","","chart_219151","chart_219153",""
"","","","","","","","","","","chart_219161","chart_219163",""
"","","","","","","","","","","chart_219211","chart_219213",""
"","","","","","","","","","","chart_219221","chart_219223",""
"","","","","","","","","","","chart_219231","chart_219233",""
"","","","","","","","","","","chart_219241","chart_219243",""
"","","","","","","","","","","chart_219251","chart_219253",""
"","","","","","","","","","","chart_219261","chart_219263",""
"","","","","","","","","","","chart_219311","chart_219333",""
"","","","","","","","","","","chart_22111","chart_22113",""
"","","","","","","","","","","chart_22121","chart_22123",""
"","","","","","","","","","","chart_22131","chart_22133",""
"","","","","","","","","","","chart_22141","chart_22143",""
"","","","","","","","","","","chart_22151","chart_22153",""
"","","","","","","","","","","chart_22161","chart_22163",""
"","","","","","","","","","","chart_22211","chart_22213",""
"","","","","","","","","","","chart_22221","chart_22223",""
"","","","","","","","","","","chart_22231","chart_22233",""
"","","","","","","","","","","chart_22241","chart_22243",""
"","","","","","","","","","","chart_22251","chart_22253",""
"","","","","","","","","","","chart_22261","chart_22263",""
"","","","","","","","","","","chart_2251","chart_2253",""
"","","","","","","","","","","chart_2281","chart_2283",""
"","","","","","","","","","","chart_22911","chart_22913",""
"","","","","","","","","","","chart_22921","chart_22923",""
"","","","","","","","","","","chart_22931","chart_22933",""
"","","","","","","","","","","chart_22941","chart_22943",""
"","","","","","","","","","","chart_22951","chart_22953",""
"","","","","","","","","","","chart_22961","chart_22963",""
"","","","","","","","","","","chart_3111","chart_3113",""
"","","","","","","","","","","chart_3121","chart_3123",""
"","","","","","","","","","","chart_3131","chart_3133",""
"","","","","","","","","","","chart_31711","chart_31713",""
"","","","","","","","","","","chart_31721","chart_31723",""
"","","","","","","","","","","chart_31731","chart_31733",""
"","","","","","","","","","","chart_31811","chart_31813",""
"","","","","","","","","","","chart_31821","chart_31823",""
"","","","","","","","","","","chart_31831","chart_31833",""
"","","","","","","","","","","chart_4211","chart_4213",""
"","","","","","","","","","","chart_4221","chart_4223",""
"","","","","","","","","","","chart_4261","chart_4263",""
"","","","","","","","","","","chart_4311","chart_4313",""
"","","","","","","","","","","chart_4321","chart_4323",""
"","","","","","","","","","","chart_4331","chart_4333",""
"","","","","","","","","","","chart_4341","chart_4343",""
"","","","","","","","","","","chart_4351","chart_4353",""
"","","","","","","","","","","chart_4361","chart_4363",""
"","","","","","","","","","","chart_4371","chart_4373",""
"","","","","","","","","","","chart_4411","chart_4413",""
"","","","","","","","","","","chart_4421","chart_4423",""
"","","","","","","","","","","chart_4431","chart_4433",""
"","","","","","","","","","","chart_4441","chart_4443",""
"","","","","","","","","","","chart_4461","chart_4463",""
"","","","","","","","","","","chart_6211","chart_6213",""
"","","","","","","","","","","chart_62211","chart_62213",""
"","","","","","","","","","","chart_62221","chart_62223",""
"","","","","","","","","","","chart_62231","chart_62233",""
"","","","","","","","","","","chart_62241","chart_62243",""
"","","","","","","","","","","chart_62251","chart_62253",""
"","","","","","","","","","","chart_62281","chart_62283",""
"","","","","","","","","","","chart_62311","chart_62313",""
"","","","","","","","","","","chart_62321","chart_62323",""
"","","","","","","","","","","chart_62331","chart_62333",""
"","","","","","","","","","","chart_62341","chart_62343",""
"","","","","","","","","","","chart_62381","chart_62383",""
"","","","","","","","","","","chart_62411","chart_62413",""
"","","","","","","","","","","chart_62431","chart_62433",""
"","","","","","","","","","","chart_62481","chart_62483",""
"","","","","","","","","","","chart_62521","chart_62523",""
"","","","","","","","","","","chart_62531","chart_62533",""
"","","","","","","","","","","chart_62581","chart_62583",""
"","","","","","","","","","","chart_62621","chart_62623",""
"","","","","","","","","","","chart_62641","chart_62643",""
"","","","","","","","","","","chart_62651","chart_62653",""
"","","","","","","","","","","chart_62671","chart_62673",""
"","","","","","","","","","","chart_62681","chart_62683",""
"","","","","","","","","","","chart_7111","chart_7113",""
"","","","","","","","","","","chart_7121","chart_7123",""
"","","","","","","","","","","chart_7131","chart_7133",""
"","","","","","","","","","","chart_7141","chart_7143",""
"","","","","","","","","","","chart_71711","chart_71713",""
"","","","","","","","","","","chart_71721","chart_71723",""
"","","","","","","","","","","chart_71731","chart_71733",""
"","","","","","","","","","","chart_71741","chart_71743",""
"","","","","","","","","","","chart_71811","chart_71813",""
"","","","","","","","","","","chart_71821","chart_71823",""
"","","","","","","","","","","chart_71831","chart_71833",""
"","","","","","","","","","","chart_71841","chart_71843",""
"","","","","","","","","","","chart_7211","chart_7213",""
"","","","","","","","","","","chart_7221","chart_7223",""
"","","","","","","","","","","chart_7251","chart_7253",""
"","","","","","","","","","","chart_72711","chart_72713",""
"","","","","","","","","","","chart_72721","chart_72723",""
"","","","","","","","","","","chart_72751","chart_72753",""
"","","","","","","","","","","chart_72811","chart_72813",""
"","","","","","","","","","","chart_72821","chart_72823",""
"","","","","","","","","","","chart_72831","chart_72833",""
"","","","","","","","","","","chart_78111","chart_78113",""
"","","","","","","","","","","chart_78121","chart_78123",""
"","","","","","","","","","","chart_78131","chart_78133",""
"","","","","","","","","","","chart_78141","chart_78143",""
"","","","","","","","","","","chart_78151","chart_78153",""
"","","","","","","","","","","chart_78161","chart_78163",""
