id,name,name@pt,description,description@pt,invoice_label,invoice_label@pt,sequence,amount,amount_type,type_tax_use,tax_group_id,active,tax_scope,repartition_line_ids/factor_percent,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,l10n_pt_tax_type,l10n_pt_withholding,l10n_pt_vat_exempt_reason,active
,,,,,,,,,,,,,,-100,tax,refund,-trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_normal_service_ec,23% Services (Extracommunity),23% Serviços (Extracomunitário),VAT 23% Services(EC),IVA 23% Serviços(EC),VAT 23%,IVA 23%,10,23,percent,purchase,tax_group_iva_23,,service,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24323,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24333,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,-trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,-trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_normal_fixed_assets,23% Fixed Assets,23% Imobilizado,VAT 23% Fixed Assets,IVA 23% Imobilizado,VAT 23%,IVA 23%,11,23,percent,purchase,tax_group_iva_23,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24322,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,-trp_tax_favor_company_24,chart_24342,,,,
iva_pt_purchase_normal_fixed_assets_ic,23% Fixed Assets (Intracommunity),23% Imobilizado (Intracomunitário),VAT 23% Fixed Assets (IC),IVA 23% Imobilizado (IC),VAT 23%,IVA 23%,11,23,percent,purchase,tax_group_iva_23,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24322,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24332,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,-trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,-trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_normal_fixed_assets_ec,23% Fixed Assets (Extracommunity),23% Imobilizado (Extracomunitário),VAT 23% Fixed Assets (EC),IVA 23% Imobilizado (EC),VAT 23%,IVA 23%,11,23,percent,purchase,tax_group_iva_23,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24322,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24332,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,-trp_tax_favor_company_24,chart_24342,,,,
