id,code_prefix_start,name,name@pt
chart_group_6242324,6242324,Combustíveis - Mercado Extracomunitário - VLPHP - Sujeito a TA (0%),Combustíveis - Mercado Extracomunitário - VLPHP - Sujeito a TA (0%)
chart_group_62423241,62423241,Combustíveis - Mercado Extracomunitário - VLPHP - Sujeito a TA (0%),Combustíveis - Mercado Extracomunitário - VLPHP - Sujeito a TA (0%)
chart_group_62423242,62423242,Combustíveis - Mercado Extracomunitário - VLPHP - Sujeito a TA (0%),Combustíveis - Mercado Extracomunitário - VLPHP - Sujeito a TA (0%)
chart_group_624233,624233,"Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (2,5%)","Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (2,5%)"
chart_group_6242331,6242331,"Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (2,5%)","Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (2,5%)"
chart_group_62423311,62423311,"Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (2,5%)","Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (2,5%)"
chart_group_62423312,62423312,"Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (2,5%)","Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (2,5%)"
chart_group_6242332,6242332,"Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (7,5%)","Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (7,5%)"
chart_group_62423321,62423321,"Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (7,5%)","Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (7,5%)"
chart_group_62423322,62423322,"Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (7,5%)","Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (7,5%)"
chart_group_6242333,6242333,Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (15%),Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (15%)
chart_group_62423331,62423331,Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (15%),Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (15%)
